Term DocID TF Positions
barrier 4 33 6985,7110,7410,7420,8278,13167,13188,16248,16690,18584,18749,22664,30299,30459,31966,37079,37150,37243,37984,39275,40461,42073,44332,44422,44449,44655,44686,44742,44889,44941,46492,47051,49622
barth 4 1 4598
bartko 4 1 30980
barton 4 1 30770
basal 1 5 135,157,310,489,537
base 2 1 197
base 3 7 72,156,644,1015,2019,2638,2743
base 4 132 492,676,738,838,1040,1097,1389,1409,1848,1876,1999,3252,3284,3451,4569,4776,6268,6515,6523,6547,6875,7992,8006,8382,8659,8837,8958,9371,9417,9421,9576,9613,10541,10581,10599,10735,10738,10829,10849,11411,11536,12936,12983,13027,14340,14670,15684,15809,17138,18699,19673,19922,20066,20086,20320,20500,21501,22333,24288,25204,25619,26028,26126,26873,27005,27367,27501,27752,27935,28285,28591,28626,29353,30128,30136,30140,30197,30218,32740,32855,33757,33838,34310,34360,34362,34442,34466,34901,34925,35035,35041,35101,35116,35188,35239,35292,35416,35489,35524,35533,35700,35734,36142,36819,36872,37143,37193,38458,38658,38781,39074,41666,42098,42835,43561,44055,44522,44654,44660,44706,45826,46340,46420,47254,47460,47493,47628,47653,47739,47873,47992,48498
baselin 4 11 6208,6678,11713,11784,13804,22732,24055,26320,38069,38107,38848
basement 3 1 710
basi 4 5 4719,4770,18171,24115,47781
basic 4 11 804,4497,11528,20205,27748,29414,31930,35137,40691,42895,46435
bass 4 1 20335
bath 4 1 20022
batra 4 1 1603
batt 4 1 17318
batter 4 1 47786
bazant 4 1 43100
bazzel 4 1 34717
bc 4 1 10278
bcg 4 2 21685,21755
bdt 4 4 6725,6740,6751,6763
be 4 2 25586,25733
beard 4 3 11603,15355,45067
beatriz 4 1 26183
becki 4 1 38720
bed 4 2 9053,30873
began 4 1 39845
begin 4 6 28613,31408,39662,40725,41158,49727
begun 4 1 45455
behavior 4 99 24,64,84,198,219,293,329,344,525,1199,1666,2800,2942,2983,3087,3215,3337,3393,3428,3475,3533,3544,3557,3868,3909,3954,4079,4105,4125,5858,6064,6081,8479,8537,11428,11479,12926,13073,13089,13973,14245,14273,14306,14367,14471,14494,14520,18468,18675,18691,20614,22697,23684,23757,23786,23864,23931,25908,26099,26833,26992,27543,27596,27600,30091,30971,32070,32165,32327,32615,32770,32788,33080,33097,33760,35398,35453,36126,36724,36899,36949,37616,38754,38977,39660,39880,39897,40085,40763,40836,40865,40881,41941,43444,43724,46095,48119,48884,48937
behaviour 4 18 5317,8388,13926,19818,31489,31524,31530,31550,31563,31611,31628,31690,31717,39339,41959,41999,42050,42110
beirut 4 4 18936,18950,48479,48542
bekel 4 1 47103
bekelman 4 1 41313
belgium 1 1 1114
belief 4 7 5853,19985,26828,27071,42014,44000,46483
believ 1 1 1069
believ 4 2 29962,44927
bell 3 2 670,2239
belo 4 3 2114,2217,25758
bemoan 4 1 42236
benedict 4 1 39020
benefici 4 1 34358
beneficiari 4 1 35763
benefit 3 6 1727,2029,2060,2088,2161,2652
benefit 4 15 7722,9440,9531,12839,23122,24470,28392,28776,29338,31624,37356,37405,37474,37701,38675
benfield 3 1 313
ber 4 1 25941
berkeley 4 2 7950,47364
bernadin 4 1 40551
bernay 4 1 24268
beryl 4 1 22642
beta 2 1 109
beta 3 1 2141
bh 4 2 25795,25883
bhatt 4 1 35718
bhup 4 1 34020
bi 4 1 23820
bias 4 1 20983
bibl 4 1 35330
bicycl 4 11 4111,4152,4163,4181,4211,4217,4228,4256,4270,4283,4297
biggest 4 1 24747
biguanid 2 1 140
bijalan 4 1 35717
bike 4 2 4266,4331
bill 4 2 28317,46680
billion 4 1 25641
bing 4 2 4045,18344
binomi 4 1 18063
biolog 2 2 443,449
biolog 4 1 25722
biom 1 1 1321
biomed 4 1 22840
biostatist 4 4 23706,23736,40780,40799
bioterrorist 4 1 46468
biparent 4 1 2374
birmingham 4 2 5811,5819
birth 4 46 3647,3720,3751,3782,3800,3820,10791,14238,14268,14298,14317,14407,14440,14489,15265,15297,17842,17913,17924,17962,17967,19773,19797,19824,19855,19863,19879,19914,19917,19924,19978,20014,20043,24543,24590,24594,31642,33370,36465,36508,36639,36698,43088,43141,43280,43387
birthweight 4 1 17854
bisoprolol 3 2 990,2068
bivari 4 2 18658,22758
bl 4 3 6679,6716,6793
black 3 1 244
black 4 8 10778,13390,13609,14346,18143,35261,35286,45116
blake 4 1 34245
blanca 4 1 11135
blaney 4 1 11605
blind 3 2 1147,1154
block 4 13 8075,14095,14588,15697,15747,15774,15785,15801,17664,35196,46982,46988,47023
blockad 3 4 2385,2504,2624,2636
blocker 2 1 110
blocker 3 22 64,101,133,147,167,203,967,976,1013,1360,1984,2025,2063,2099,2129,2142,2165,2284,2539,2657,2668,2721
blog 4 1 7685
blogospher 4 1 6401
blood 1 1 410
blood 3 1 2337
blood 4 9 5782,5932,5992,6027,23421,32928,35376,41986,44815
bloomberg 4 19 38,2956,4128,4146,14256,15616,17329,20441,20934,28765,32093,32601,32621,32638,38471,38736,43108,43980,48973
bls 4 1 10193
blue 4 1 32704
blueprint 4 2 6382,6444
bmi 4 3 17359,17530,35384
board 4 6 7563,8293,9133,14356,15790,37679
boateng 4 1 19386
bodega 4 5 45170,45220,45236,45306,45357
bodi 4 8 1655,2497,13960,17356,24307,31923,35381,41669
bogardus 4 1 27224
bokhour 4 1 46594
bolsa 4 2 2107,2208
bomb 4 1 46472
